"subject_id","tef10_score","practice_mean_rt","practice_acc","magnitude_mean_rt","magnitude_acc","parity_mean_rt","parity_acc","practice_sd_rt","magnitude_sd_rt","parity_sd_rt"
"npt-experiment-2025-11-05-10-33-05",1.22222222222222,545.646785961442,1,502.855310556572,0.818181818181818,544.21498777559,0.866666666666667,100.329631258699,104.515839677189,63.9091844701982
"npt-experiment-2025-11-05-10-45-51",1.8,519.532375831553,1,576.629784068269,0.875,488.341236561664,0.8,71.7071811159541,90.494653405698,76.126047787332
"npt-experiment-2025-11-05-10-59-21",1.3,587.904765884938,1,529.582607201847,0.941176470588235,547.879773377877,0.875,88.7405600916101,87.039999668824,67.7055053784553
"npt-experiment-2025-11-05-11-14-55",2.11111111111111,558.852243120065,1,552.618604563975,0.692307692307692,583.872460026923,0.916666666666667,59.3241242776251,105.323912228001,84.99212317073
"npt-experiment-2025-11-05-11-38-41",2.22222222222222,562.415252928435,0.714285714285714,556.218275632663,0.714285714285714,517.076014997466,0.916666666666667,84.7890507532894,92.0420940069951,83.9332730572809
"npt-experiment-2025-11-05-11-46-38",2.7,573.904917601858,1,595.075641071579,0.923076923076923,554.620626609079,0.6,79.2098477448138,91.71809852602,114.448352718785
"npt-experiment-2025-11-05-12-44-20",1.6,593.646469593656,1,585.901608243635,0.8,533.122723180606,0.866666666666667,52.5176400005953,81.5395711807953,91.7432324826466
"npt-experiment-2025-11-05-12-55-30",2.4,564.269990769958,1,552.868144018811,0.8125,549.797716607667,0.933333333333333,111.036756145452,80.4057957790578,93.7889746299485
"npt-experiment-2025-11-05-13-17-00",2.6,620.437320608571,1,584.368920845613,0.933333333333333,558.153590255529,0.88235294117647,67.8660550445103,77.9687711098681,62.8287657959911
"npt-experiment-2025-11-05-13-17-42",2.1,514.014865123308,1,556.255246502111,0.9375,583.478069786809,0.923076923076923,66.1409452902356,88.4599278283045,85.9495785340235
"npt-experiment-2025-11-05-15-04-44",2.1,587.467462335108,0.833333333333333,569.438107687576,0.8125,515.926668214612,0.923076923076923,72.7604027409692,84.9261791234814,99.0971078717635
"npt-experiment-2025-11-05-16-21-42",1.33333333333333,521.904569039402,0.888888888888889,512.526680238964,0.916666666666667,543.878799773281,1,116.762897760573,68.143861149853,105.391108545457
"npt-experiment-2025-11-05-16-26-45",1.1,529.904812399305,1,529.887258786526,0.705882352941177,549.243368313433,0.928571428571429,79.531000737369,79.8279850462669,83.4407608110754
"npt-experiment-2025-11-05-16-47-53",2.1,565.726955917544,1,559.227291964059,0.875,517.534443059635,1,30.591531684126,96.0343445108604,105.924782342678
"npt-experiment-2025-11-05-17-37-35",2.3,561.555021539625,1,578.762542836015,0.923076923076923,517.18084811614,1,68.4981819499475,99.0447878312319,75.2697152766472
"npt-experiment-2025-11-05-17-46-31",2.4,607.758671483226,1,504.487988725816,0.846153846153846,544.861405147216,0.933333333333333,51.3670413068329,87.5688501967078,75.6858161434058
"npt-experiment-2025-11-05-17-47-13",1,555.923148925121,0.857142857142857,523.37376401725,0.928571428571429,540.240167597898,1,107.270890387463,74.0065345351193,84.951068048044
"npt-experiment-2025-11-05-18-04-45",2.3,545.350301646568,1,597.437135492353,0.888888888888889,558.833286774886,0.823529411764706,81.6849081718733,95.5825594086905,79.9562850822125
"npt-experiment-2025-11-05-18-17-29",1.7,546.638782165021,0.8,567.660753690769,0.75,546.234675996711,0.769230769230769,81.3218199785449,90.1117570992022,100.901270153253
"npt-experiment-2025-11-05-18-57-06",2.4,535.805607280542,0.857142857142857,508.776026926699,0.933333333333333,516.132467414012,0.769230769230769,55.447476388166,89.1688428799115,104.466943180349
